nama_tempat,user,review,rating,tanggal
Unknown,Ira Ayunani,"pertama kali makan gacoan disini rasanya lumayan kurang dan juga penyajian mie nya menggunakan kotakan, bukan piring.",3,9 bulan lalu
Unknown,Yolanda Arista Dewi,"lama poll, sampai kebakaran pun air minum gak dtg dtg🤯🥵🤬 …",4,setahun lalu
Unknown,linn pratama,Tdi siang coba beli disini yg level 1 Ama 2 ..Mayan 8 kotak..pas dimakan ko hambar gitu y g ada asinnya biar dikit ..semua anak anak yg makan pada komplen ko beda rasanya,1,5 bulan lalu
Unknown,Nadia Pradita,"TooOLOOOONNKKKKK ini saya baru beli kemarin malam gacoan level 1 pedesnya ga ngouuutakkkk, ganti resep apa gimana ya? Diliat liat cabenya normal aja ga nethink ketuker tapi kok pedes bgt ga kayak biasanya saya makan bulan bulan lalu 😭😭😭😭😭 …",3,5 bulan lalu
Unknown,Rehan,"Makanany dan minuman enak, smga pelayanan y dalam penyajian cepat biar tidak lama menunggu",5,sebulan lalu
Unknown,Shilla Putri Arliyanti,Pelayanannya ramah dan makanannya sangat enakk,5,2 minggu lalu
Unknown,Julia Ika Pratiwi,Rekomendd. Harganya sangat terjangkau. Cocok banget di kantong pelajar dan mahasiswa. Cuma memang harus agak sabar nunggu makanannya diantar😅 …,5,setahun lalu
Unknown,Hidayat Restu,Layanan nya bagus dan makanan nya enak ini tempat paling harus di datangin untuk makan disini,5,sebulan lalu
Unknown,Muhammad Fatir,pelayanan ramah + baik makanan nya juga cepat datang keren buat Kaka kelaw,5,sebulan lalu
Unknown,Ridh0,"Pesanan dari jam 9 sampe jam 10 lewat kok belum juga diantar, kok pelayanannya lambat ngak kek biasanya ini?, mohon di koreksi lagi",1,2 bulan lalu
Unknown,Rahmawati Abo,Tempatnya asik pelayanannya cepat makanannya juga enak murah dikantong,4,setahun lalu
Unknown,Laras Aprillia,"pdahal suka bgt sm gcoan tpi belakangan ini serinh beli GACOAN gada kecapny jd asin dn ga maniss,,pas mnta kecapp selaluu ga boleh wkwkwk,,klo gblh mnta kecap ya mieny ksi kecap ,,pesan gacoan rasa hompimpa🙂 …",2,3 bulan lalu
Unknown,Dapur Mama NR,"Bagus juga untuk makan bersama keluarga, harganya juga murah meriah",4,11 bulan lalu
Unknown,bila nabilaaa,makananya enak pelayanannya ramah😍 …,5,5 bulan lalu
Unknown,SpvLoc cabangsamarinda,Makan bersama keluarga besar location.,5,3 minggu lalu
Unknown,Fadill,"pesen gacoan level 8 datang gada pedas samsek, mohon harus lebih teliti lagi",2,3 bulan lalu
Unknown,Natan 5januari,layanan nya ramah makanan nya enak dan tempat nya nyaman,5,seminggu lalu
Unknown,Zidani,Kalo kesini pasti pesen lev 8 karena ini menu patah hati 😢 oh iya semangat ya mas mbak 🤍🤍🤍 …,5,setahun lalu
Unknown,Guru Sekumpul,"Pelayanan cepat
Rasa enak
Tempat nyaman 🥰 …",5,setahun lalu
Unknown,Eka Supriadi,"ANTRIANNYA LAMA. PELAYANANNYA LAMBAT. TIDAK GERAK CEPAT

2 Januari 2025. Kirain ada peningkatan atau lebih baik pelayanannya. Ternyata …",1,Diedit setahun lalu
Unknown,Laela Yunita,"Enak,ada level pedas nya,paling suka udang keju nya👍 …",5,seminggu lalu
Unknown,Cikho jeri ramadhan,dari jam 00:00 sampe jam 1:53 kemana aja? nunggu selama itu? pembeli juga tidak ramai ojek online juga tidak ramai tapi pembeli yg baru datang malah lebih dulu selesai daripada yg nunggu dari jam 00:00,1,4 bulan lalu
Unknown,Priscila,"makanannya enak, udang kejunya meleleh cuman panas aja tempatnya",4,seminggu lalu
Unknown,Ade suhada Suhada,"makanan nya enakk dan pelayanan bagus, karywan ramah ramah",5,seminggu lalu
Unknown,38 Syahratunnisa,"last bnget makan disini, nunggu makanan sampe ber jam jam LAMA BANGET, yang nganter mie pun cuman 1 org padahal lagi rame. BAD BNGET SIH. mending ke m.yamin ato lempake seklian lah",3,Diedit 5 bulan lalu
Unknown,Azrian Nur,pesan dari jam set 12 sampai jam 12.42 belum juga datang mie nya sampai sdh snack dan minuman habis pelayanan untuk makan ditempat sangat menguras energi gak rekom makan disini 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 …,1,8 bulan lalu
Unknown,Tesalonika Saragi,"pelayanan nya bagus, tapi saya boleh kasih masukan, mungkin boleh lebih semangat lagi dalam melayani, lebih ceria lagi. tetap semangat semuanya teman². Terimakasih banyak atas pelayanannya",5,4 bulan lalu
