nama_tempat,user,review,rating,tanggal
Unknown,Arman Kusuma,"Rasanya enak, pedasnya gak main main, harga murah, pelayanan cepat",5,setahun lalu
Unknown,Martilova Lova,"Tolong dong parkir disini arogan banget, saya ga bawa cash lalu disuruh bayar parkir pake qris, lalu ketika saya bayar dia paksa untuk lihat saya klik sandi ebangking. Lalu saya tutup hp saya dia marah, karena takut saya menipu. Setelah …",1,Diedit 4 bulan lalu
Unknown,Diyah Savitri,"Rasanya mah enak, cuma level 1 nya ini kadang gak pedes, kadang pedes bgt😭 ini yang sekarang level 1nya pedes banget, yang masak lagi badmood ya? Semangat yaaa bentar lagi gajian👊🏻🩷 …",4,setahun lalu
Unknown,fortiani Zai,"Kita nunggu sampe 1 jam makanan, kata pelayanan akan diantar ternyata tidak diantar. Dan makannya nganggur di meja...kesel jadi gk mood makan",1,Diedit 5 bulan lalu
Unknown,Silvia Indriani,"Pelayanan nya sangat amat lambat, dan customer sudah di suruh duduk di bangku , tetapi sampah masih berserakan di meja yang ingin di tempati, dan pelayanan nya sangat amat mengecewakan sekali, padahal cabang baru tapi disayangkan kurang bagus, sudah menunggu lama tidak juga di bersihkan sama karyawan nya",1,setahun lalu
Unknown,irfan weka,Lokasi strategis tempatnya luas parkirannya juga cukup luas buat motor cuman karna bangunan belom sepenuhnya jadi jd agak kurang overall masih ok,5,setahun lalu
Unknown,Andika Lukyto,Yg jaga alaramnya jutek banget cuma minta tuker bangku buat kapasitas malah di sinisin ga lagi dah minggu 8 juni jam 12 mlm,1,setahun lalu
Unknown,Anim Pro,"Ini mungkin mie gacoan ke 21 di jakarta yg sudah di kunjungi, akhirnya gacoan buka cabang di klapa gading yg dkt dri tmpat kerja, jadi bisa berkunjung kapan saja, penasaran liat menu ada gacoan level 9, dan bnar2 super pedas cuma sanggup …",5,Diedit setahun lalu
Unknown,Verdinand Vekhy,"Kurang bagus pelayanan nya... cuma mintol ambilin tissue dan kebetulan habis dan saat itu sementara makan, malah disuruh balik ambil
Tolong pimpinan nya benahi karyawan ny",1,5 bulan lalu
Unknown,Ardina Octaviani,ini gacoan paling recommended enak makanan nya anget pelayanannya oke,5,3 bulan lalu
Unknown,Bzzraxra,"rasa mie gacoannya lebih enak dari yg di cemput, suasana dine in di bawah juga seger bgtt anginnya masuk jadi ga panas, order via barcodenya bikin gampang dan sat set sii 👍🏻👍🏻👍🏻 …",4,setahun lalu
Unknown,Dita Putri Pertiwi,"Tempatnya nyaman , pelayanannya cepat , makanan di setiap cabang tidak ada perbedaan rasa 😍😍 …",5,10 bulan lalu
Unknown,Nursih Rodiah,"Menu mie bervariasi, baru cobain level 3 dan belum pedes banget kok, udang kejunya enak dengan harga terjangkau",4,setahun lalu
Unknown,Velia Sahna,"1. Untuk kasir nya tidak teliti no. Meja 63 di inputnya 03 sehingga minuman dan cemilan telat karna tdk bunyi alatnya jadi sudah pada dingin makanannya, mie nya sudah dingin juga udah lama banget karna dari kasir salah input nomor meja …",1,setahun lalu
